tahun,industri,jutaUSD
2002,tambang,245000
2003,tambang,
2004,tambang,3154.1
2005,tambang,
2006,tambang,
2007,tambang,162235.4
2008,tambang,1300
2009,tambang,490.2
2010,tambang,1106276.4
2011,tambang,1905798.1
2012,tambang,1778979.7
2013,tambang,3052934
2014,tambang,2233260.1
2015,tambang,1650190.5
2016,tambang,1644605.2
2017,tambang,2095180.1
2018,tambang,1586637.5
2019,tambang,1084660.5
2020,tambang,1237836.9
2021,tambang,2539301.9
2002,logam,20963.6
2003,logam,51482.1
2004,logam,57416.7
2005,logam,79177.2
2006,logam,41936.6
2007,logam,51675.6
2008,logam,354362.1
2009,logam,150363.6
2010,logam,117040.6
2011,logam,829644.1
2012,logam,1569287.8
2013,logam,1979999.8
2014,logam,1288649
2015,logam,2057497.9
2016,logam,2779891.3
2017,logam,2581491.5
2018,logam,1943705.6
2019,logam,3487907
2020,logam,5922513.2
2021,logam,6914922.5
